"","x"
"1","Ricinus_communis"
"2","Tabebuia_heterophylla"
"3","Azadirachta_indica"
"4","Lawsonia_inermis"
"5","Albizia_lebbeck"
"6","Leucaena_leucocephala"
"7","Moringa_oleifera"
"8","Calotropis_procera"
"9","Tecoma_stans"
"10","Parkinsonia_aculeata"
"11","Inga_affinis"
"12","Funtumia_africana"
"13","Senna_alata"
"14","Melia_azedarach"
"15","Solanum_betaceum"
"16","Cinnamomum_burmanni"
"17","Haematoxylum_campechianum"
"18","Vernicia_cordata"
"19","Jatropha_curcas"
"20","Acacia_decurrens"
"21","Inga_edulis"
"22","Duranta_erecta"
"23","Acacia_farnesiana"
"24","Cassia_fistula"
"25","Pachira_glabra"
"26","Psidium_guineense"
"27","Flacourtia_indica"
"28","Mangifera_indica"
"29","Acacia_melanoxylon"
"30","Schinus_molle"
"31","Bauhinia_monandra"
"32","Jatropha_multifida"
"33","Anacardium_occidentale"
"34","Bixa_orellana"
"35","Carica_papaya"
"36","Adenanthera_pavonina"
"37","Caesalpinia_pulcherrima"
"38","Euphorbia_pulcherrima"
"39","Delonix_regia"
"40","Acacia_saligna"
"41","Sapindus_saponaria"
"42","Mimosa_scabrella"
"43","Senna_septemtrionalis"
"44","Senna_spectabilis"
"45","Millettia_thonningii"
"46","Ailanthus_altissima"
"47","Elaeagnus_angustifolia"
"48","Prunus_armeniaca"
"49","Salix_babylonica"
"50","Ficus_carica"
"51","Prunus_cerasus"
"52","Cedrus_deodara"
"53","Prunus_dulcis"
"54","Bougainvillea_glabra"
"55","Punica_granatum"
"56","Acer_negundo"
"57","Morus_nigra"
"58","Pinus_pinea"
"59","Cupressus_sempervirens"
"60","Aralia_spinosa"
"61","Nicotiana_glauca"
"62","Tamarix_aphylla"
"63","Prosopis_juliflora"
"64","Opuntia_monacantha"
"65","Rhamnus_alaternus"
"66","Erica_arborea"
"67","Pinus_canariensis"
"68","Euphorbia_dendroides"
"69","Casuarina_glauca"
"70","Eucalyptus_gomphocephala"
"71","Pinus_halepensis"
"72","Cylindropuntia_imbricata"
"73","Populus_nigra"
"74","Tamarix_parviflora"
"75","Cylindropuntia_prolifera"
"76","Coprosma_repens"
