raw_name,trait_name,match_type
Acacia areolata,Racosperma areolatum,direct kew
Acacia celsa,Racosperma celsum,direct kew
Acacia cretacea,Acacia creatacea,direct kew
Acacia disparrima,Racosperma disparrimum,direct kew
Acacia hopperiana,Racosperma hopperianum,direct kew
Acacia inophloia,Racosperma inophloia,direct kew
Acacia midgleyi,Racosperma midgleyi,direct kew
Acacia sibirica,Acacia stowardii,direct kew
Acacia spectrum,Acacia spectra,direct kew
Acacia tingoorensis,Racosperma tingoorense,direct kew
Acaciella angustissima,Acacia angustissima,direct kew
Acaciella rosei,Acacia rosei,direct kew
Acaciella villosa,Acacia villosa,direct kew
Acalypha benensis,Acalypha mapirensis,direct kew
Acalypha benensis,Acalypha stricta,direct kew
Acalypha emirnensis,Acalypha baronii,direct kew
Acalypha fasciculata,Acalypha madreporica,direct kew
Acanthocladus dichromus,Acanthocladus albicans,direct kew
Acer flabellatum,Acer campbellii,direct kew
Acer flabellatum,Acer macrophyllum,direct kew
Acer floridanum,Acer saccharum,direct kew
Acer leucoderme,Acer saccharum,direct kew
Acer miaotaiense,Acer miyabei,direct kew
Acer nigrum,Acer saccharum,direct kew
Acer okamotoanum,Acer pictum,direct kew
Acioa dolichopoda,Couepia dolichopoda,direct kew
Acioa longipendula,Couepia longipendula,direct kew
Ackama paniculosa,Caldcluvia paniculosa,direct kew
Ackama rosifolia,Caldcluvia rosifolia,direct kew
Acoelorraphe wrightii,Acoelorrhaphe wrightii,direct kew
Acronychia porteri,Maclurodendron porteri,direct kew
Adenanthera novoguineensis,Adenanthera novo-guineensis,direct kew
Adina cordifolia,Haldina cordifolia,direct kew
Adina eurhyncha,Pertusadina eurhyncha,direct kew
Adina fagifolia,Adinauclea fagifolia,direct kew
Adina malaccensis,Pertusadina malaccensis,direct kew
Adina metcalfii,Pertusadina metcalfii,direct kew
Adina multifolia,Pertusadina multifolia,direct kew
Adina trichotoma,Metadina trichotoma,direct kew
Aegiphila triflora,Clerodendrum tessmannii,direct kew
Aiouea alainii,Cinnamomum alainii,direct kew
Aiouea amoena,Cinnamomum amoenum,direct kew
Aiouea amplexicaulis,Cinnamomum amplexicaule,direct kew
Aiouea areolata,Cinnamomum areolatum,direct kew
Aiouea bractefoliacea,Cinnamomum bractifoliaceum,direct kew
Aiouea brenesii,Cinnamomum brenesii,direct kew
Aiouea chavarriana,Cinnamomum chavarrianum,direct kew
Aiouea cinnamomoidea,Mocinnodaphne cinnamomoidea,direct kew
Aiouea effusa,Cinnamomum effusum,direct kew
Aiouea elegans,Cinnamomum concinnum,direct kew
Aiouea erythropus,Cinnamomum erythropus,direct kew
Aiouea erythropus,Cinnamomum oleifolium,direct kew
Aiouea floccosa,Cinnamomum floccosum,direct kew
Aiouea formicaria,Cinnamomum formicarium,direct kew
Aiouea glaziovii,Cinnamomum glaziovii,direct kew
Aiouea glossophylla,Cinnamomum glossophyllum,direct kew
Aiouea grisebachii,Cinnamomum grisebachii,direct kew
Aiouea hammeliana,Cinnamomum hammelianum,direct kew
Aiouea hartmanii,Cinnamomum hartmannii,direct kew
Aiouea heteranthera,Cinnamomum heterantherum,direct kew
Aiouea kruseana,Cinnamomum kruseanum,direct kew
Aiouea lanigera,Cinnamomum lanigerum,direct kew
Aiouea leptophylla,Cinnamomum leptophyllum,direct kew
Aiouea longipes,Cinnamomum longipes,direct kew
Aiouea montana,Ocotea moanensis,direct kew
Aiouea neurophylla,Cinnamomum neurophyllum,direct kew
Aiouea pachypoda,Cinnamomum pachypodum,direct kew
Aiouea padiformis,Cinnamomum padiforme,direct kew
Aiouea palaciosii,Cinnamomum palaciosii,direct kew
Aiouea pittieri,Cinnamomum costaricanum,direct kew
Aiouea sellowiana,Cinnamomum sellowianum,direct kew
Aiouea stenophylla,Cinnamomum stenophyllum,direct kew
Aiouea subsessilis,Cinnamomum subsessile,direct kew
Aiouea tonduzii,Cinnamomum tonduzii,direct kew
Aiouea zapatae,Cinnamomum zapatae,direct kew
Albizia dinklagei,Samanea dinklagei,direct kew
Albizia occidentalis,Hesperalbizia occidentalis,direct kew
Alchornea ilicifolia,Alchornea aquifolia,direct kew
Aldina amazonica,Aldina latifolia,direct kew
Aldina rionegrae,Aldina macrophylla,direct kew
Aldina speciosa,Aldina reticulata,direct kew
Aldina stergiosii,Aldina discolor,direct kew
Alectryon connatus,Alectryon connatum,direct kew
Alectryon ferrugineus,Alectryon ferrugineum,direct kew
Alectryon semicinereus,Alectryon semicinereum,direct kew
Alectryon subcinereus,Alectryon subcinereum,direct kew
Alectryon subdentatus,Alectryon subdentatum,direct kew
Alectryon tomentosus,Alectryon tomentosum,direct kew
Alibertia venezuelensis,Borojoa venezuelensis,direct kew
Allanblackia parviflora,Allanblackia floribunda,direct kew
Allophylus letestui,Allophylus le-testui,direct kew
Allophylus melanophloeus,Allophylus laevigatus,direct kew
Allophylus membranifolius,Allophylus edulis,direct kew
Allophylus puberulus,Allophylus edulis,direct kew
Aloidendron barberae,Aloe barberae,direct kew
Aloidendron dichotomum,Aloe dichotoma,direct kew
Aloidendron eminens,Aloe eminens,direct kew
Aloidendron pillansii,Aloe pillansii,direct kew
Aloidendron ramosissimum,Aloe ramosissima,direct kew
Alseodaphnopsis andersonii,Alseodaphne andersonii,direct kew
Alseodaphnopsis hainanensis,Alseodaphne hainanensis,direct kew
Alseodaphnopsis hokouensis,Alseodaphne hokouensis,direct kew
Alseodaphnopsis lanuginosa,Alseodaphne lanuginosa,direct kew
Alseodaphnopsis petiolaris,Alseodaphne petiolaris,direct kew
Alseodaphnopsis rugosa,Alseodaphne rugosa,direct kew
Alseodaphnopsis sichourensis,Alseodaphne sichourensis,direct kew
Alstonia longifolia,Tonduzia longifolia,direct kew
Amaioua glomerulata,Amaioua corymbosa,direct kew
Amorphospermum antilogum,Niemeyera antiloga,direct kew
Amphiodon effusus,Poecilanthe effusa,direct kew
Amphiodon effusus,Poecilanthe ovalifolia,direct kew
Amphitecna kennedyae,Amphitecna kennedyi,direct kew
Angelesia splendens,Licania splendens,direct kew
Aniba canelilla,Aniba canellila,direct kew
Aniba rosodora,Aniba rosaeodora,direct kew
Annickia letestui,Annickia le-testui,direct kew
Annona dolabripetala,Annona ubatubensis,direct kew
Annona dolabripetala,Rollinia dolabripetala,direct kew
Annona exsucca,Rollinia exsucca,direct kew
Annona mucosa,Rollinia mucosa,direct kew
Annona xylopiifolia,Rollinia xylopiifolia,direct kew
Anonidium letestui,Anonidium le-testui,direct kew
Anthocarapa nitidula,Anthocarpa nitidula,direct kew
Apeiba echinata,Apeiba petoumo,direct kew
Aporrhiza letestui,Aporrhiza le-testui,direct kew
Arachnothryx chiapensis,Arachnothryx cordovana,direct kew
Arachnothryx costaricensis,Renistipula costaricensis,direct kew
Arachnothryx galeottii,Renistipula galeottii,direct kew
Arachnothryx izabalensis,Renistipula izabalensis,direct kew
Arboa antsingyae,Erblichia antsingyae,direct kew
Archidendron bauchei,Archidendron baucheri,direct kew
Archidendron kinabaluense,Archidendron kinubaluense,direct kew
Ardisia kivuensis,Ardisia staudtii,direct kew
Ardisia knappiae,Ardisia knappii,direct kew
Ardisia martinensis,Ardisia guianensis,direct kew
Artocarpus tomentosulus,Artocarpus primackii,direct kew
Arytera litoralis,Arytera littoralis,direct kew
Aspidosperma quebracho,Aspidosperma quebracho-blanco,direct kew
Aspidosperma vargasii,Aspidosperma parvifolium,direct kew
Astropanax abyssinicus,Schefflera abyssinica,direct kew
Atalantia paniculata,Severinia paniculata,direct kew
Athenaea fasciculata,Aureliana darcyi,direct kew
Athenaea fasciculata,Aureliana fasciculata,direct kew
Athenaea sellowiana,Saracha sellowiana,direct kew
Athenaea tomentosa,Aureliana tomentosa,direct kew
Athenaea velutina,Aureliana velutina,direct kew
Athyana weinmanniifolia,Athyana weinmannifolia,direct kew
Aubrevillea platicarpa,Aubrevillea platycarpa,direct kew
Azanza lampas,Thespesia lampas,direct kew
Balizia pedicellaris,Albizia pedicellaris,direct kew
Balmea stormiae,Balmea stormae,direct kew
Banksia anatona,Dryandra anatona,direct kew
Banksia arborea,Dryandra arborea,direct kew
Baphia acuminata,Baphia pubescens,direct kew
Beilschmiedia novoguineensis,Beilschmiedia novo-guineensis,direct kew
Bellucia arborescens,Loreya arborescens,direct kew
Bellucia mespiloides,Loreya mespiloides,direct kew
Bellucia spruceana,Loreya spruceana,direct kew
Benstonea adinobotrys,Pandanus adinobotrys,direct kew
Benstonea affinis,Pandanus affinis,direct kew
Benstonea ashtonii,Pandanus ashtonii,direct kew
Benstonea atrocarpa,Pandanus atrocarpus,direct kew
Benstonea beccata,Pandanus beccatus,direct kew
Benstonea brevistylis,Pandanus brevistylis,direct kew
Benstonea brunigii,Pandanus brunigii,direct kew
Benstonea calcinacta,Pandanus calcinactus,direct kew
Benstonea celebica,Pandanus celebicus,direct kew
Benstonea ellipsoidea,Pandanus ellipsoideus,direct kew
Benstonea elostigma,Pandanus elostigma,direct kew
Benstonea foetida,Pandanus foetidus,direct kew
Benstonea gibbsiana,Pandanus gibbsianus,direct kew
Benstonea herbacea,Pandanus herbaceus,direct kew
Benstonea inquilina,Pandanus inquilinus,direct kew
Benstonea korthalsii,Pandanus korthalsii,direct kew
Benstonea lauterbachii,Pandanus lauterbachii,direct kew
Benstonea lepatophila,Pandanus lepatophilus,direct kew
Benstonea microglottis,Pandanus microglottis,direct kew
Benstonea monticola,Pandanus monticola,direct kew
Benstonea ornithocephala,Pandanus ornithocephalus,direct kew
Benstonea parva,Pandanus parvus,direct kew
Benstonea pectinata,Pandanus pectinatus,direct kew
Benstonea permicron,Pandanus permicron,direct kew
Benstonea pilaris,Pandanus pilaris,direct kew
Benstonea platystigma,Pandanus platystigma,direct kew
Benstonea poronaliva,Pandanus poronaliva,direct kew
Benstonea pseudosyncarpa,Pandanus pseudosyncarpus,direct kew
Benstonea pumila,Pandanus pumilus,direct kew
Benstonea rupestris,Pandanus rupestris,direct kew
Benstonea rustica,Pandanus rusticus,direct kew
Benstonea setistyla,Pandanus setistyla,direct kew
Benstonea sylvatica,Pandanus sylvaticus,direct kew
Benstonea thomissophylla,Pandanus thomissophyllus,direct kew
Benstonea thurstonii,Pandanus thurstonii,direct kew
Benstonea tunicata,Pandanus tunicatus,direct kew
Benstonea undulifolia,Pandanus undulifolius,direct kew
Benstonea vriensii,Pandanus vriensii,direct kew
Biancaea sappan,Caesalpinia sappan,direct kew
Bikinia letestui,Bikinia le-testui,direct kew
Blakea aeruginosa,Topobea aeruginosa,direct kew
Blakea albertiae,Topobea albertiae,direct kew
Blakea amplifolia,Topobea amplifolia,direct kew
Blakea brachyura,Topobea brachyura,direct kew
Blakea calycularis,Topobea calycularis,direct kew
Blakea cuprina,Topobea glabrescens,direct kew
