grid_id,n,pd,mpd,raoq,fd,fdr
11525,9,515.367017,180.1907676111111,6.379773719881521,1.651438319563752e-5,0.25248337955099887
17801,27,1397.981659,198.1236729116809,11.280444158743725,2.166632993185058,1.1014712578923411
12761,79,2770.172243,206.45947013696852,15.169169820267102,129.17670036420589,1.836107156622073
51232,260,9079.8435775396,225.11635366038777,17.042329174083886,1517.5457553393853,2.4982892791036555
8718,3,231.72844299999997,154.48562866666663,5.844808544787817,NA,NA
56310,366,13008.1168920616,231.63653629008883,16.323167975188397,2524.973332652137,2.662453916532031
7238,2,231.57112999999998,231.57112999999998,5.7606928892708025,NA,NA
39641,21,1843.585037004,229.9791804289524,13.547321342995682,3.419011953633879,1.1661047848875852
29215,9,894.85326,225.9698936111111,21.095871543156896,0.016766474863092535,0.5998673441623761
50674,67,4338.2335114392,234.4768860232778,16.83635024555229,179.2996917431072,1.912922797115298
52431,669,18110.1290150796,233.0316163937827,15.625728072682364,4142.9177579366215,2.8324567621014354
14786,8,395.0486,150.18310864285715,4.555034318753755,NA,NA
36986,74,4381.7273140092,227.21089704467664,19.567612246766274,354.632661653728,2.083158626388139
43786,1118,22936.5999755606,232.16670592425035,13.819519335885216,4922.935657991784,2.8941965397776284
53949,63,3025.307054003,212.41385883368457,23.4720299797929,322.7121991120973,2.058741991870777
59551,15,1015.423236,215.70696512380954,20.13941072144808,0.5264148243310495,0.9229241576897794
32925,536,17191.1669221062,232.12961171519657,17.737300159133035,4155.702284546651,2.833547865847873
34401,16,1320.732899,223.83996859166666,20.139302199144733,1.9286733560149194,1.0855687555180225
53067,43,2168.002826,208.15071006866003,22.01201516980974,136.6830368244368,1.8491167278785603
17995,6,597.645537,222.925434,15.101110886749494,NA,NA
60877,434,12263.891272711,213.20842634146254,23.806499091852185,5682.12090572278,2.946549957795996
29181,3,367.342707,244.89513800000003,16.28450600925487,NA,NA
37370,190,6852.539106015,221.54978211249428,16.983993779313842,918.6144731361424,2.346343868320386
52979,583,15005.455372320801,234.3112121975073,14.375507617740258,2351.1997321404237,2.6388286490290382
58270,33,2038.663805,214.3915431931818,23.44156601915209,68.02743071983893,1.6946714328176797
48208,322,10325.222850559,228.35035911210966,16.053575259077476,1769.629256881505,2.5467439681363824
29243,32,2261.315681,225.38835174798388,18.82121119293592,60.35930934174837,1.6695254075426587
49391,740,18491.6046290692,233.16051244632314,14.287215304518433,3005.737507522562,2.721096109201061
30157,687,16887.0194887906,237.59586103958716,14.361172814973209,2228.866747606655,2.6212624917548153
48648,213,8294.6707195362,230.067625581658,15.166011345659607,1117.2564782598379,2.4044686011348797
11575,2,231.57112999999998,231.57112999999998,5.760692875543133,NA,NA
22259,78,4343.197789003,227.46905790050982,18.406446533505523,443.45341412541217,2.1421801975985817
11695,10,424.167577,148.77321777777777,6.269865554205794,1.9289535540468005e-5,0.25743359487052764
30145,576,15134.7432967394,235.42942419289284,15.639847665388189,2658.000781215997,2.6795964146870657
19668,146,5939.420406403,227.00490205445772,17.245860919717938,1440.0120460855212,2.48196564427368
29704,199,9039.7080716214,234.86237507616045,16.40068796465547,919.5774971231779,2.346651199335137
27432,6,649.5138000000001,233.02067100000002,16.52075270451362,NA,NA
19372,10,650.2424,198.02672666666663,8.102459370526727,8.002751593347025e-4,0.4101143041482745
56092,21,1310.498862,213.10502870476188,24.2315027111535,6.556491847930998,1.2649808200882526
22985,90,3657.989492,211.33020507116106,15.421397480302025,214.9102741072082,1.9567356036720764
54237,77,3470.8381720091998,220.34078337002708,16.124720612906245,136.00185668373072,1.84796229009056
18391,67,3403.671459,216.75041649389416,16.553926335986166,220.91218571295278,1.9634844178610342
51238,218,8634.5168810302,225.04474320688934,15.667498403978128,1015.6867376308694,2.3759919927415987
38714,127,6416.1238960126,225.60427758000097,17.902284175759252,747.1674614931896,2.286531789941091
