grid_id,n,metrics,value
13659,34,pd,1731.633687
19550,98,pd,3185.015095
29591,42,pd,3049.2317280032
24553,103,pd,4829.995005
9564,8,pd,310.71007299999997
13742,11,pd,461.996049
34835,66,pd,4380.6527200030005
12383,9,pd,599.899229
23617,31,pd,2414.341943
10691,7,pd,355.48026999999996
26894,234,pd,9072.6500426314
6948,4,pd,0.563424
49063,150,pd,6743.0677025336
17629,11,pd,517.2742189999999
23859,110,pd,5714.860722006
66084,57,pd,3055.0415395
17179,12,pd,706.562561
55876,391,pd,12997.8928695668
13895,24,pd,616.491508
9571,9,pd,280.5971
11358,5,pd,293.766409
37842,92,pd,5018.9779285094
14184,14,pd,604.913456
38261,64,pd,4343.3027385062
19134,58,pd,2229.155752
18434,11,pd,999.234723
32629,49,pd,3473.5868985032002
11571,3,pd,231.69611399999997
20187,26,pd,1437.68264
13909,11,pd,441.30057600000004
60435,109,pd,4690.8043179999995
7949,1,pd,0
37370,231,pd,8887.7578040182
10897,6,pd,92.60541599999998
37815,120,pd,6181.0046795152
12234,5,pd,521.643904
37699,1412,pd,30306.9045384494
30048,40,pd,3232.2797390064
30767,252,pd,10356.0057027334
22730,67,pd,3637.558995
21897,24,pd,1583.300711
3164,1,pd,0
45506,1098,pd,23601.1590376016
7935,1,pd,0
8068,1,pd,0
16708,6,pd,581.247846
17817,42,pd,1748.955198
14201,7,pd,449.236086
36534,68,pd,4412.8895605092
23534,131,pd,6187.109800003
51658,205,pd,7537.5761520548
1870,1,pd,0
29034,139,pd,6575.356354715
31442,668,pd,17678.0428690636
32508,318,pd,11621.426545756
16202,139,pd,5456.0693846
63208,26,pd,2174.69548
23012,208,pd,7728.167775803
59975,132,pd,4339.700976
36499,138,pd,6604.1933905154
32279,275,pd,10950.3304010572
26182,41,pd,3312.19921
15694,10,pd,800.267362
22361,23,pd,1460.509939
56123,250,pd,8213.9605800142
11396,5,pd,298.887333
51568,851,pd,21317.6834155918
55111,124,pd,5679.1208005276
30035,46,pd,3336.5210770064
12834,11,pd,841.019901
41735,141,pd,7000.9239620154
5796,1,pd,0
27862,40,pd,3366.0196440032
553,1,pd,0
46909,309,pd,10789.6188610446
18697,67,pd,2342.80005
35202,74,pd,4532.9640415062
36978,80,pd,4570.6931245094
33180,628,pd,18699.4117046912
8169,4,pd,14.967161
47002,406,pd,13835.0486319716
28433,400,pd,12748.2347052944
41168,1437,pd,29321.5436691404
56966,68,pd,3200.3698289999998
53733,1099,pd,25046.802771603
54788,67,pd,2966.611425
53096,414,pd,13567.0228350514
19764,11,pd,978.1797839999999
47226,855,pd,20469.1382185624
16340,19,pd,750.774484
10849,11,pd,324.366101
19752,14,pd,1143.733324
9834,4,pd,363.379023
30154,622,pd,17033.8312408578
27432,38,pd,3099.8949820032
24932,52,pd,3147.176406
8445,10,pd,758.880177
53713,224,pd,9581.0105595364
15391,53,pd,2272.826056
33089,50,pd,3664.4114630064
25404,153,pd,5986.3404338
15691,13,pd,914.4290570000001
23215,35,pd,1886.354172
8156,4,pd,0.507049
13424,2,pd,3.130254
8578,1,pd,0
38682,157,pd,7080.454901512
55530,21,pd,1725.967768
27960,108,pd,6038.9321180092
10415,13,pd,392.954863
21069,6,pd,640.1271889999999
