grid_id,n,metrics,value
28290,8,pd,527.297687
13696,6,pd,390.013961
28805,11,pd,590.999377
38290,13,pd,595.178094
23441,33,pd,1565.315165
30329,24,pd,543.24464
23398,56,pd,1713.494167
15624,8,pd,427.653562
30492,10,pd,573.140538
49810,5,pd,261.417375
13768,2,pd,253.645516
41701,4,pd,228.291392
24309,43,pd,1704.91624
58261,4,pd,241.421246
30957,11,pd,563.800848
20430,27,pd,1209.799192
28630,30,pd,772.6035009999999
16056,8,pd,490.315158
33173,25,pd,813.45206
32678,13,pd,611.598197
5956,1,pd,0
21671,41,pd,1405.876552
54689,5,pd,249.071269
61909,3,pd,668.537974
52101,5,pd,368.058477
44447,8,pd,549.836699
10654,7,pd,391.049577
48970,4,pd,388.303824
17946,54,pd,1472.117765
12481,2,pd,253.645516
38144,10,pd,527.77058
37788,9,pd,494.09687099999996
47338,4,pd,364.07652
30889,9,pd,534.521923
17212,3,pd,292.44309499999997
9113,2,pd,253.645516
48512,4,pd,296.772427
28408,23,pd,578.205747
61906,6,pd,474.620573
10175,9,pd,390.533845
60844,2,pd,15.279681
8575,1,pd,0
13484,2,pd,253.645516
15480,3,pd,292.44309499999997
15428,1,pd,0
13755,3,pd,292.44309499999997
19783,1,pd,0
14828,3,pd,292.44309499999997
22721,22,pd,1061.243336
20804,21,pd,677.492616
18486,4,pd,297.479575
53272,4,pd,283.001106
49935,8,pd,406.035966
11183,2,pd,253.645516
12829,6,pd,390.013961
54385,10,pd,529.429042
15027,4,pd,327.459517
32633,7,pd,506.66885299999996
24410,11,pd,426.713913
26990,14,pd,599.113237
11718,4,pd,330.357516
16250,4,pd,317.71926
39988,10,pd,520.13652
24703,32,pd,1289.705886
9130,1,pd,0
9790,5,pd,354.997539
7827,2,pd,253.645516
13651,8,pd,420.853501
22765,8,pd,362.07077300000003
15477,3,pd,292.44309499999997
58455,3,pd,242.282883
19110,12,pd,448.486133
31004,16,pd,704.426757
39560,8,pd,512.184986
30523,10,pd,556.324415
26637,8,pd,544.036131
31323,9,pd,534.521923
20554,25,pd,1241.248009
33089,9,pd,552.763901
56846,11,pd,492.86974699999996
57419,15,pd,643.894238
13741,2,pd,253.645516
22376,3,pd,257.079407
10449,1,pd,0
18958,3,pd,292.44309499999997
45074,6,pd,411.20711
11653,1,pd,0
41742,9,pd,520.605045
31359,11,pd,580.616971
19793,1,pd,0
37401,8,pd,499.79504099999997
9556,2,pd,253.645516
21714,31,pd,1341.564923
42274,15,pd,1079.3318709999999
19240,42,pd,1359.233731
39571,12,pd,530.303526
11598,2,pd,253.645516
44212,6,pd,411.207111
40869,14,pd,540.493118
31842,14,pd,601.444205
15798,20,pd,1119.731807
16535,5,pd,332.618617
12906,2,pd,253.645516
20805,33,pd,1240.082934
11455,11,pd,496.875481
14825,3,pd,292.44309499999997
15379,9,pd,835.6441629999999
36597,10,pd,546.147817
58278,12,pd,570.155482
57168,6,pd,777.713503
19121,15,pd,500.359236
45065,5,pd,329.419789
16372,1,pd,0
11132,1,pd,0
24896,10,pd,441.4517
11293,2,pd,253.645516
20545,30,pd,1290.890668
12624,1,pd,0
24458,10,pd,441.4517
62353,2,pd,21.780796000000002
21534,6,pd,377.729258
61054,4,pd,363.888292
25781,8,pd,405.852717
31876,21,pd,760.332041
29620,7,pd,523.177265
58567,8,pd,502.462878
10209,1,pd,0
38758,9,pd,525.653293
23215,3,pd,258.07604699999996
16755,4,pd,327.459517
13214,5,pd,320.37703700000003
26563,9,pd,531.851938
37371,7,pd,473.387407
13308,1,pd,0
19299,1,pd,0
9893,1,pd,0
8928,1,pd,0
5963,1,pd,0
14095,4,pd,327.459517
28758,9,pd,592.62754
